reason,folder,filename
loop,"Live Masters 2014/04 SEC - 28 GROUND FARIDABAD 7 - 9 FEB 2014/9 FEB - 4$ - 1030 AM","04 MAIN KHUD APNI TALAASH.json"
loop,"Live Masters 2014/06 KIRTI NAGAR DELHI 22 - 23 FEB 2014/23 FEB - 2$ - 7 AM","03 JAGIYE ISI JANM MEIN.json"
loop,"Live Masters 2014/10 PB CLUB DELHI 21 - 23 MAR 2014/21 MAR - 1$ - 6 PM","04 MUKADDAR AAZMANE AA GAYA.json"
loop,"Live Masters 2014/10 PB CLUB DELHI 21 - 23 MAR 2014/23 MAR - 4$ - 7 AM","03 ABHIMAN MEIN NA AANA.json"
loop,"Live Masters 2014/13 MOUNTVIEW CHANDIGARH 9 - 11 MAY 2014/10 MAY - 3$ - 1030 AM","02 MEDITATION.json"
loop,"Live Masters 2014/13 MOUNTVIEW CHANDIGARH 9 - 11 MAY 2014/10 MAY - 3$ - 1030 AM","06 SAMVAAD.json"
loop,"Live Masters 2014/13 MOUNTVIEW CHANDIGARH 9 - 11 MAY 2014/11 MAY - 5$ - 7 AM","05 SAMBODHAN.json"
loop,"Live Masters 2014/15 VMR HISAR 8 - 9 JULY 2014/8 JULY - 1$ - 630 PM","04 SAMBODHAN.json"
loop,"Live Masters 2014/15 VMR HISAR 8 - 9 JULY 2014/9 JULY - 2$ - 7 AM","04 OM GURUVE NAMAH.json"
loop,"Live Masters 2015/01 GURUPURNIMA DELHI 30 JULY - 2 AUG 2015/31 JULY - 2$ - 530 AM","08 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2015/03 SHIVALIK VIEW CHANDIGARH 2 - 4 OCT 2015/4 OCT - 4$ - 7 AM","02 MEDITATION.json"
loop,"Live Masters 2015/04 EXPO CENTRE NOIDA 16 - 18 OCT 2015/16 OCT - 1$ - 6 PM","02 MEDITATION.json"
loop,"Live Masters 2015/05 SOLAN 31 OCT - 1 NOV 2015/1 NOV - 3$ - 10 AM","03 ZINDAGI KA SAFAR KARNE WALE.json"
loop,"Live Masters 2015/07 CHHATTARPUR DELHI 25 - 27 DEC 2015/27 DEC - 4$ - 730 AM","08 SAMBODHAN.json"
loop,"Live Masters 2016/03 CHHATTARPUR DELHI 16 - 19 JULY 2016/17 JULY - 2$ - 630 AM","05 SAMBODHAN.json"
loop,"Live Masters 2016/03 CHHATTARPUR DELHI 16 - 19 JULY 2016/18 JULY - 5$ - 630 PM","05 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2016/03 CHHATTARPUR DELHI 16 - 19 JULY 2016/19 JULY - 6$ - 530 AM","03 GURUPURNIMA NAMAH.json"
loop,"Live Masters 2016/05 CHHATTARPUR DELHI 30 DEC 2016 - 1 JAN 2017/1 JAN - 4$ - 7 AM","06 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2016/05 CHHATTARPUR DELHI 30 DEC 2016 - 1 JAN 2017/31 DEC - 3$ - 615 PM","09 SAMBODHAN & PRAVACHAN.json"
empty,"Dagshai 2001/06 JUNE - 2001/DAGSHAI 21 - 23 JUNE 2001/unknown","07 MEDITATION (INCOMPLETE).json"
empty,"Dagshai 2002/01 JAN - 2002/DAGSHAI 2 - 11 JAN 2002/UNKNOWN","05 MEDITATION (INCOMPLETE).json"
empty,"Dagshai 2002/05 MAY - 2002/5 MAY - 7 PM","05 OM ONKAR.json"
empty,"Dagshai 2002/05 MAY - 2002/8 MAY - 7 PM","01 MEDITATION (1).json"
empty,"Dagshai 2002/12 DEC - 2002/DAGSHAI 22 - 26 DEC 2002/24 DEC - 6$ - 6 PM","01 MEDITATION (2).json"
empty,"Dagshai 2002/12 DEC - 2002/DAGSHAI 22 - 26 DEC 2002/25 DEC - 7$ - 7 AM","01 MEDITATION (1).json"
empty,"Dagshai 2002/12 DEC - 2002/DAGSHAI 22 - 26 DEC 2002/26 DEC - 9$ - 1230 PM","06 SAMBODHAN.json"
empty,"Dagshai 2004/09 SEP - 2004/DAGSHAI 3 - 5 SEP 2004/4 SEP - 3$ - 630 PM","03 OM GURUVE NAMAH.json"
empty,"Live Masters 2010/01 NOIDA 7 - 10 JAN 2010/9 JAN - 4$ - 1030 AM","03 OM GURUVE NAMAH.json"
empty,"Live Masters 2010/01 NOIDA 7 - 10 JAN 2010/9 JAN - 5$ - 6 PM","03 OM GURUVE NAMAH.json"
empty,"Live Masters 2010/33 NEW YEAR DELHI 31 DEC 2010 - 2 JAN 2011/31 DEC - 3$ - 1030 PM","05 SAMBODHAN.json"
